Niveau_alerte,date,region_id,hospit_pct,first_dose,second_dose,CONNECT_lag,Faibles_revenues_65_ans,Immigration_2011_2016
1,2021-07-22,14,0.000202103493157,0.769232168408799,0.553818139192718,0.7,0.04,0.0054
1,2021-07-22,15,0.000169664065151,0.787519511367492,0.528729216152019,0.7,0.042,0.0061
1,2021-07-22,16,0.000591078119101,0.79366349479371,0.538426357946565,0.7,0.05,0.0167
1,2021-07-23,1,0,0.762651670593004,0.564186741647035,0.7,0.014,0.0031
1,2021-07-23,2,0.000361836392057,0.767190846986627,0.574625137497829,0.7,0.017,0.0022
1,2021-07-23,3,0.000273973728659,0.790399138626597,0.569870835085624,0.7,0.084,0.0174
1,2021-07-23,4,0.000196652579787,0.744430307308986,0.530495898810449,0.7,0.021,0.0053
1,2021-07-23,5,0.00105794356929,0.763352834759794,0.545183711900807,0.7,0.021,0.0113
1,2021-07-23,6,0.001802224872351,0.729631769414081,0.510409650862699,0.7,0.145,0.0714
1,2021-07-23,7,0.001568201064286,0.734783222339547,0.539772192658728,0.7,0.06,0.0201
1,2021-07-23,8,0.000681584274488,0.724571794679553,0.488641398065664,0.7,0.015,0.0039
1,2021-07-23,9,0,0.714725783090858,0.561479928230182,0.7,0.013,0.0026
1,2021-07-23,10,0,0.678471051152333,0.561551433389545,0.7,0.011,0.0039
1,2021-07-23,11,0.001107284826876,0.820863460707998,0.708031136849332,0.7,0.011,0.0022
1,2021-07-23,12,0,0.758794711508705,0.544346103855914,0.7,0.03,0.0041
1,2021-07-23,13,0.000945642126465,0.726721245978066,0.514162172896478,0.7,0.085,0.0358
1,2021-07-23,14,0.000202103493157,0.769988035473205,0.563084584353956,0.7,0.04,0.0054
1,2021-07-23,15,0.000169664065151,0.788418730912793,0.539166949440109,0.7,0.042,0.0061
1,2021-07-23,16,0.000591078119101,0.79440603668083,0.551327376743588,0.7,0.05,0.0167
1,2021-07-24,1,0,0.763244420801986,0.576730754616612,0.7,0.014,0.0031
